Faculty Name,Faculty Link,Type,Program Name ,Program Url
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BSc in Business Management (Human Resource Management),http://horizoncampus.edu.lk/faculty-of-management/#eluidc2943219
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/faculty-of-management/#eluid2b9b5248
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bsc (Hons) in Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/#eluid800fa810
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BIT in Network & Mobile Computing,http://horizoncampus.edu.lk/faculty-of-information-technology/#eluid4a510bcf
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BIT -  University of Moratuwa,http://horizoncampus.edu.lk/faculty-of-information-technology/#eluidb228cb9e
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Undergraduate,BSc in Biotechnology (Nilai),http://horizoncampus.edu.lk/faculty-of-science/#eluid45db2748
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Undergraduate,BSc in Biotechnology (Astate),http://horizoncampus.edu.lk/faculty-of-science/#eluid90b71d55
Faculty of Science,http://horizoncampus.edu.lk/faculty-of-science/,Undergraduate,Diploma in Biotechnology (Nilai),http://horizoncampus.edu.lk/faculty-of-science/#eluid94817ec9
Faculty of Education,http://horizoncampus.edu.lk/faculty-of-education/,Undergraduate,Bachelor of Education (BEd) Programme,http://horizoncampus.edu.lk/faculty-of-education/#eluid9c21dba0
Faculty of International Programs,http://horizoncampus.edu.lk/faculty-of-international-programs/,Undergraduate,Bachelor of LAW (LLB) ,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluidb249f55c
Faculty of International Programs,http://horizoncampus.edu.lk/faculty-of-international-programs/,Undergraduate,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluid44f4bd6b
Faculty of International Programs,http://horizoncampus.edu.lk/faculty-of-international-programs/,Undergraduate,BSc. Accounting and Finance,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluide836169c
Faculty of International Programs,http://horizoncampus.edu.lk/faculty-of-international-programs/,Undergraduate,BSc. Banking and Finance,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluid183dae5b
