Faculty Name,url,type,dName, ,dUrl 
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n1. B.A. (General) Degree Course) (03 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n2. B.A. Special Degree Course Criminology (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n3. B.A. Special Degree Course-Economics (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n4. B.A. Special Degree Course -English Language (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n5. B A special Degree Course -English Literature (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n6. B A special Degree Course – History (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n7. B.A. Special Degree Course -Mass Communication (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n8. B.A. Special Degree Course -Philosophy & Psychology (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n9. BA. Special Degree Course -Political Science',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n10. B.A. Special Degree Course – Teaching English as a Second Language (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n11. B.A. Special Degree Course -Pali (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n12. B.A. Special Degree Course -Archaeology (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n13. B.A. Special Degree Course -Buddhist Philosophy (4 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n14. B.A. Special Degree Course -Buddhist & Civilization (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n15. B.A. Special Degree Course -Geography (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n16. B A. Special Degree Course -Anthropology (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n17. B.A. Special Degree Course -Business Statistics (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n18. B.A. Special Degree Course -Sanskrit (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n19. B.A. Special Degree Course -Music (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n20. B A, Special Degree Course -Dancing (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n21. B.A. Special Degree Course -Sociology (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n22. B.A .Special Degree Course -Sinhala (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n23. B.A. Special Degree Course Social -Statistics (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n24. B.A. Special Degree Course -Hindi (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Huminities & Social Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#art,Undergraduate,('\n25. B.Sc. in Business Statistics and Information Technology years (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#art
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('2. B.Sc Marketing Management (Special) Degree Programme (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n3. B.Sc Accounting (Special) Degree Programme',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n4. B.Sc Estate Management & Valuation (Special) Degree Programme (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n5. B.Sc Human Resource Management (Special) Degree Programme (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n6. B.Sc Finance (Special) Degree Programme\xa0 (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n7. B.Sc operations and Technology Management (Special) Degree Programme\xa0(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n8. B.Sc Public Management (special) Degree Programme (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n9. B.Sc Entrepreneurship (special) Degree Programme (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n10. B.Sc Business Information systems (special) Degree Programme(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n11.B.Sc Business Administration Degree Programme –\xa0(Business Economics) (Special) Degree Programme (04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Management Studies & Commerce,https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt,Undergraduate,('\n12. B.Sc Business Administration (Special) Degree Programme\xa0(04 years)',),https://www.sjp.ac.lk/courses/undergraduate-courses/#mgt
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Name of the Qualification',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science in Physics and ICT',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Chemistry',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Plant BioTechnology',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Microbiology',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Plant Biology',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Zoology',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Aquatic Resource Management',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Environmental Management & Forestry',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Mathematics',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Applied Mathematics',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Physics',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Statistics',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Computer Science',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Biology',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Industrial Chemistry',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
Faculty of Applied Sciences,https://www.sjp.ac.lk/courses/undergraduate-courses/#applied,Undergraduate,('Bachelor of Science Honours in Polymer Chemistry',),https://www.sjp.ac.lk/courses/undergraduate-courses/#applied
