Cource Name,Course Duration, Course Link
***Upcoming Certificate Courses***
Certificate in English for Tourism & Hospitality Management (CETHM),04 Months,https://cmb.ac.lk/index.php/course/certificate-in-english-for-tourism-hospitality-management-cethm/
Certificate Course in Chinese Language,Six (06) months,https://cmb.ac.lk/index.php/course/chinese-language-certificate-courses/
Certificate Course in Communicative Arabic,Four months (60 hours),https://cmb.ac.lk/index.php/course/certificate-course-in-communicative-arabic/
Certificate Course in International Relations,06 Months,https://cmb.ac.lk/index.php/course/certificate-course-in-international-relations/
Certificate Course in Business English,None,https://cmb.ac.lk/index.php/course/certificate-course-in-business-english/
Certificate in Business Law Course,None,https://cmb.ac.lk/index.php/course/certificate-in-business-law-course/
Certificate Course in History – 2018,None,https://cmb.ac.lk/index.php/course/certificate-course-in-history-2018/
Certificate Course in Spoken English (CCSE),None,https://cmb.ac.lk/index.php/course/certificate-course-in-spoken-english-ccse/
Certificate/Diploma in Occupational health and safety,Approximately Six  months (90 contact hours),https://cmb.ac.lk/index.php/course/certificate-diploma-in-occupational-health-and-safety/
Certificate in English for Tourism & Hospitality Management,Four months ( Weekend),https://cmb.ac.lk/index.php/course/certificate-in-english-for-tourism-hospitality-management/
Certificate Course in Massage Therapy,06 Months,https://cmb.ac.lk/index.php/course/certificate-course-in-massage-therapy-2018/
Certificate Course in Communicative Arabic – 2018,None,https://cmb.ac.lk/index.php/course/certificate-in-communicative-arabic/
Advanced Certificate Course for Geography Teachers,None,https://cmb.ac.lk/index.php/course/advanced-certificate-course-for-geography-teachers-2/
Certificate Course in Spoken Tamil – 2018 (Batch 09),None,https://cmb.ac.lk/index.php/course/certificate-course-in-spoken-tamil-2018-batch-09/
Certificate Course in International Relations – January 2018,None,https://cmb.ac.lk/index.php/course/certificate-course-in-international-relations-january-2018/
Certificate Course in International Relations – November 2017,None,https://cmb.ac.lk/index.php/course/certificate-course-in-international-relations-november-2017/
Advanced Certificate Course for Geography Teachers,Six (06) months,https://cmb.ac.lk/index.php/course/advanced-certificate-course-for-geography-teachers/
Certificate Course in Conflict	 Peace and Reconciliation,None,https://cmb.ac.lk/index.php/course/certificate-course-in-conflict-peace-and-reconciliation/
***Upcoming Diploma Courses***
Diploma in Sinhala,1 year,https://cmb.ac.lk/index.php/course/diploma-in-sinhala/
Diploma in Computer-based Accounting and Information Systems (DCAIS),1 year,https://cmb.ac.lk/index.php/course/diploma-in-computer-based-accounting-and-information-systems-dcais/
Diploma in Marketing,One year,https://cmb.ac.lk/index.php/course/diploma-in-marketing/
Executive Diploma in Human Rights,1 Year,https://cmb.ac.lk/index.php/course/executive-diploma-in-human-rights-2/
Executive Diploma in Business Administration (EDBA),1 year,https://cmb.ac.lk/index.php/course/executive-diploma-in-business-administration-edba/
Diploma & Higher Diploma in Counseling Psychology,1 Year,https://cmb.ac.lk/index.php/course/diploma-higher-diploma-in-counseling-psychology/
Diploma in Small Business Management,None,https://cmb.ac.lk/index.php/course/diploma-in-small-business-management/
Extension Courses in English,None,https://cmb.ac.lk/index.php/course/extension-courses-in-english/
Postgraduate Diploma in Banking & Finance,1 Year,https://cmb.ac.lk/index.php/course/postgraduate-diploma-in-banking-finance-2/
Postgraduate Diploma/Masters Degree in Applied Statistics,One Year,https://cmb.ac.lk/index.php/course/postgraduate-diplomamasters-degree-in-applied-statistics/
Diploma in Journalism,One Year,https://cmb.ac.lk/index.php/course/diploma-in-journalism/
Diploma in Marketing,None,https://cmb.ac.lk/index.php/course/diploma-in-marketing-2/
Extension Courses in English – 2017,None,https://cmb.ac.lk/index.php/course/extension-courses-in-english-2017/
Diploma in Business English,None,https://cmb.ac.lk/index.php/course/diploma-in-business-english-deadline-extended-to-december-03-2017/
***Upcoming Postgraduate Courses***
Postgraduate Diploma in Banking & Finance,1 Year,https://cmb.ac.lk/index.php/course/postgraduate-diploma-in-banking-finance-2/
