program Catagory,program Type,program type link,Degree Name,degree url
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Architecture,https://www.mrt.ac.lk/web/archi/programs_ar
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Design,https://www.mrt.ac.lk/web/design/courses/honours-degree-b-des
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Design in Fashion Design & Product Development,https://www.mrt.ac.lk/web/design/courses/honours-degree-b-des
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Science in Facilities Management,http://becon.mrt.ac.lk/index.php/programmes/undergraduate-programmes/bsc-in-fm
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Science in Information Technology,https://www.mrt.ac.lk/web/itfac/education/undergraduate/it
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Science in Information Technology & Management,https://www.mrt.ac.lk/web/itfac/education/undergraduate/it-managemant
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Science in Quantity Surveying,http://www.becon.mrt.ac.lk/index.php/programmes/undergraduate-programmes/bsc-in-qs
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Science in Town & Country Planning,http://www.mrt.ac.lk/tcp/?page_id=237
Acadamic,Undergraduate,https://www.mrt.ac.lk/web/education/degrees/undergraduate,Honours Degree of Bachelor of Science in Transport & Logistics Management,http://www.tlm.mrt.ac.lk/en/undergraduate_program.php
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science (MSc),  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Philosophy (M.Phil),  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Doctor of Philosophy (Ph.D),  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Urban Design,https://www.mrt.ac.lk/web/msc-pg-diploma-urban-design
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Architecture,  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Architectural Conservation of Monuments and Sites,https://www.mrt.ac.lk/web/msc-pg-diploma-architectural-conservation-monuments-and-sites-acomas
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Landscape Design,https://www.mrt.ac.lk/web/msc-pg-diploma-landscape-design
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Interior Design,https://www.mrt.ac.lk/web/msc-pg-diploma-interior-design
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Project Management,https://www.mrt.ac.lkhttp://becon.mrt.ac.lk/index.php/programmes/postgraduate-studies/m-sc-in-project-management
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Construction Law and Dispute Resolution,https://www.mrt.ac.lkhttp://becon.mrt.ac.lk/index.php/programmes/postgraduate-studies/m-sc-in-construction-law-and-dispute-resolution
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Town & Country Planning,  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Spatial Planning Management & Design,https://www.mrt.ac.lk/web/msc-spatial-planning-management-and-design
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Engineering,  
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Polymer Technology,https://www.mrt.ac.lk/web/msc-pg-diploma-polymer-technology
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Masters of Science in Sustainable Process Development,https://www.mrt.ac.lk/web/msc-pg-diploma-sustainable-process
Acadamic,Postgraduate Degree,https://www.mrt.ac.lk/web/postgraduate-degrees,Degree of Master of Science in Construction Project Management,https://www.mrt.ac.lk/web/meng-pg-diploma-construction-project-management
