web-scraper-order,web-scraper-start-url,CENTRES PROVIDING ACADEMIC PROGRAMMES links,CENTRES PROVIDING ACADEMIC PROGRAMMES links-href,CENTRES PROVIDING ACADEMIC PROGRAMMES
1533801356-882,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,,Promote innovation in local manufacturing
1533801356-880,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,,Promote CAE and industry interaction
1533801356-875,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,English Language Teaching Centre,,
1533801356-878,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,,Teach English and meet CSD needs ofstudents and staff
1533801356-883,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,http://www.codl.lk/,Centre for Open and Distance Learning
1533801356-877,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,https://www.mrt.ac.lk/web/lang,English Language Teaching Centre
1533801356-881,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,,Engineering Design Centre
1533801356-884,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,,To provide administrative support in delivering open and distance learning programmes.
1533801356-879,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,,,CAD/CAM Centre
1533801356-876,https://www.mrt.ac.lk/web/centres-providing-academic-programmes,Centre for Open and Distance Learning,,
