web-scraper-order,web-scraper-start-url,more_courses_programs_degrees_uom,more_courses_programs_degrees_uom-href
1533791571-859,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Traditional Craft design for Modernity (PhD),http://www.mrt.ac.lk/foa/
1533791571-829,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,History of Architecture & Heritage Studies (PhD),http://www.mrt.ac.lk/foa/
1533791571-850,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,"Multi Agent Systems (MPhil, PhD)",http://www.itfac.mrt.ac.lk/Research/index.htm
1533791571-837,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Knowledge Management and Organizational Learning in Construction (PhD),http://www.mrt.ac.lk/foa/
1533791571-808,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,B.Sc. in Facilities Management,http://www.becon.mrt.ac.lk/courses.htm#fm
1533791571-855,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Postgraduate Diploma in Town & Country Planning,http://www.mrt.ac.lk/tcp/courses_msc.html
1533791571-824,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Engineering (Undergraduate),http://www.mrt.ac.lk/eugs/
1533791571-823,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Ecological Landscape Design (PhD),http://www.mrt.ac.lk/foa/
1533791571-858,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,Strategic Environmental Assessment (PhD),http://www.mrt.ac.lk/foa/
1533791571-843,http://www.euni.de/unidir_popup.php?content=moreJobsFromEmployer&jobid=653500&lang=en&jobtyp=5&university=University+of+Moratuwa&sid=5167&country=LK,M.Sc. in Project Management,http://www.becon.mrt.ac.lk/msc/index.htm
