web-scraper-order,web-scraper-start-url,links,links-href
"1533803250-909","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Spatial Planning Management & Design","https://www.mrt.ac.lk/web/msc-spatial-planning-management-and-design"
"1533803250-941","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Artificial Intelligence","https://www.mrt.ac.lk/web/msc-pg-diploma-artificial-intelligence"
"1533803250-924","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Remote Sensing & Geographical Information Systems","https://www.mrt.ac.lk/web/msc-pg-diploma-remote-sensing-and-gis"
"1533803250-903","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Architectural Conservation of Monuments and Sites","https://www.mrt.ac.lk/web/msc-pg-diploma-architectural-conservation-monuments-and-sites-acomas"
"1533803250-908","https://www.mrt.ac.lk/web/postgraduate-degrees","M.Sc in Occupational Safety and Health Management","http://www.becon.mrt.ac.lk/index.php/programmes/postgraduate-studies/m-sc-in-occupational-safety-and-health-management"
"1533803250-919","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Transportation","https://www.mrt.ac.lk/web/msc-pg-diploma-transportation"
"1533803250-942","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Information Technology","https://www.mrt.ac.lk/web/msc-pg-diploma-information-technology"
"1533803250-907","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Construction Law and Dispute Resolution","http://becon.mrt.ac.lk/index.php/programmes/postgraduate-studies/m-sc-in-construction-law-and-dispute-resolution"
"1533803250-939","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Textile & Clothing Management","https://www.mrt.ac.lk/web/msc-pg-diploma-textile-and-clothing-management"
"1533803250-940","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Supply Chain Management","http://www.tlm.mrt.ac.lk/en/mba"
"1533803250-922","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Business Administration in Information Technology","https://www.mrt.ac.lk/web/mba-pg-diploma-information-technology"
"1533803250-910","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Polymer Technology","https://www.mrt.ac.lk/web/msc-pg-diploma-polymer-technology"
"1533803250-920","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Business Administration in Project Management","https://www.mrt.ac.lk/web/mba-pg-diploma-project-management"
"1533803250-918","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Engineering in Structural Engineering Design","https://www.mrt.ac.lk/web/meng-pg-diploma-structural-engineering-design"
"1533803250-917","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Engineering in Highway & Traffic Engineering","https://www.mrt.ac.lk/web/meng-pg-diploma-highway-and-traffi-c-engineering"
"1533803250-931","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Business Administration in Entrepreneurship","https://www.mrt.ac.lk/web/mbapg-diploma-entrepreneurship"
"1533803250-927","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Industrial Automation","https://www.mrt.ac.lk/web/msc-pg-diploma-industrial-automation"
"1533803250-905","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Interior Design","https://www.mrt.ac.lk/web/msc-pg-diploma-interior-design"
"1533803250-925","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Electrical Engineering","https://www.mrt.ac.lk/web/msc-pg-diploma-electrical-engineering"
"1533803250-923","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Business Administration in e-Governance","https://www.mrt.ac.lk/web/mba-pg-diploma-e-governance"
"1533803250-929","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Electronics & Automation","https://www.mrt.ac.lk/web/msc-pg-diploma-electronics-and-automation"
"1533803250-916","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Engineering in Foundation Engineering & Earth Retaining Systems","https://www.mrt.ac.lk/web/meng-pg-diploma-foundation-engineering-and-earth-retaining-systems"
"1533803250-904","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Landscape Design","https://www.mrt.ac.lk/web/msc-pg-diploma-landscape-design"
"1533803250-935","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Business Statistics","https://www.mrt.ac.lk/web/msc-pg-diploma-business-statistics"
"1533803250-938","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Building Services Engineering","https://www.mrt.ac.lk/web/msc-pg-diploma-building-services-engineering"
"1533803250-921","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Computer Science","https://www.mrt.ac.lk/web/msc-pg-diploma-computer-science"
"1533803250-906","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Project Management","http://becon.mrt.ac.lk/index.php/programmes/postgraduate-studies/m-sc-in-project-management"
"1533803250-933","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Operational Research","https://www.mrt.ac.lk/web/msc-pg-diploma-operational-research"
"1533803250-902","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Urban Design","https://www.mrt.ac.lk/web/msc-pg-diploma-urban-design"
"1533803250-915","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Water Resources Engineering & Management","https://www.mrt.ac.lk/web/meng-pg-diploma-water-resources-engineering-and-management"
"1533803250-913","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Environmental Engineering & Management","https://www.mrt.ac.lk/web/msc-pg-diploma-environmental-engineering-and-management"
"1533803250-937","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Engineering in Energy Technology","https://www.mrt.ac.lk/web/meng-pg-diploma-energy-technology"
"1533803250-928","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Telecommunications","https://www.mrt.ac.lk/web/msc-pg-diploma-telecommunication"
"1533803250-932","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Materials Science","https://www.mrt.ac.lk/web/msc-pg-diploma-materials-science"
"1533803250-934","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Financial Mathematics","https://www.mrt.ac.lk/web/msc-pg-diploma-financial-mathematics"
"1533803250-914","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Environmental Management","https://www.mrt.ac.lk/web/msc-pg-diploma-environmental-management"
"1533803250-911","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Masters of Science in Sustainable Process Development","https://www.mrt.ac.lk/web/msc-pg-diploma-sustainable-process"
"1533803250-936","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Engineering in Manufacturing Systems Engineering","https://www.mrt.ac.lk/web/meng-pg-diploma-manufacturing-systems-engineering"
"1533803250-912","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Construction Project Management","https://www.mrt.ac.lk/web/meng-pg-diploma-construction-project-management"
"1533803250-930","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Business Administration in Management of Technology","https://www.mrt.ac.lk/web/mba-pg-diploma-management-technology"
"1533803250-926","https://www.mrt.ac.lk/web/postgraduate-degrees","Degree of Master of Science in Electrical Installations","https://www.mrt.ac.lk/web/msc-pg-diploma-electrical-installation"
