web-scraper-order,web-scraper-start-url,links,links-href
"1533803404-962","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Materials Science","https://www.mrt.ac.lk/web/msc-pg-diploma-materials-science"
"1533803404-968","https://www.mrt.ac.lk/web/postgraduate-diplomas","(conducted jointly with Civil Engineering and Electrical Engineering) Postgraduate Diploma in Building Services Engineering","https://www.mrt.ac.lk/web/msc-pg-diploma-building-services-engineering"
"1533803404-964","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Financial Mathematics","https://www.mrt.ac.lk/web/msc-pg-diploma-financial-mathematics"
"1533803404-953","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Computer Science","https://www.mrt.ac.lk/web/msc-pg-diploma-computer-science"
"1533803404-965","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Business Statistics","https://www.mrt.ac.lk/web/msc-pg-diploma-business-statistics"
"1533803404-966","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Manufacturing Systems Engineering","https://www.mrt.ac.lk/web/meng-pg-diploma-manufacturing-systems-engineering"
"1533803404-944","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Sustainable Process Development","https://www.mrt.ac.lk/web/msc-pg-diploma-sustainable-process"
"1533803404-959","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Electronics & Automation","https://www.mrt.ac.lk/web/msc-pg-diploma-electronics-and-automation"
"1533803404-946","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Environmental Engineering & Management","https://www.mrt.ac.lk/web/msc-pg-diploma-environmental-engineering-and-management"
"1533803404-951","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Structural Engineering Design","https://www.mrt.ac.lk/web/meng-pg-diploma-structural-engineering-design"
"1533803404-947","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Environmental Management","https://www.mrt.ac.lk/web/msc-pg-diploma-environmental-management"
"1533803404-956","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Electrical Engineering","https://www.mrt.ac.lk/web/msc-pg-diploma-electrical-engineering"
"1533803404-971","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Information Technology","https://www.mrt.ac.lk/web/msc-pg-diploma-information-technology"
"1533803404-963","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Operational Research","https://www.mrt.ac.lk/web/msc-pg-diploma-operational-research"
"1533803404-954","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Business Administration Specialised in e-Governance","https://www.mrt.ac.lk/web/mba-pg-diploma-e-governance"
"1533803404-961","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Business Administration Specialised in Entrepreneurship","https://www.mrt.ac.lk/web/mbapg-diploma-entrepreneurship"
"1533803404-957","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Electrical Installations","https://www.mrt.ac.lk/web/msc-pg-diploma-electrical-installation"
"1533803404-958","https://www.mrt.ac.lk/web/postgraduate-diplomas","(conducted jointly with Mechanical Engineering)  Postgraduate Diploma in Industrial Automation","https://www.mrt.ac.lk/web/msc-pg-diploma-industrial-automation"
"1533803404-943","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Polymer Technology","https://www.mrt.ac.lk/web/msc-pg-diploma-polymer-technology"
"1533803404-950","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Highway & Traffic Engineering","https://www.mrt.ac.lk/web/meng-pg-diploma-highway-and-traffi-c-engineering"
"1533803404-967","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Energy Technology","https://www.mrt.ac.lk/web/meng-pg-diploma-energy-technology"
"1533803404-960","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Business Administration Specialised in Management of Technology","https://www.mrt.ac.lk/web/mba-pg-diploma-management-technology"
"1533803404-969","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Textile & Clothing Management","https://www.mrt.ac.lk/web/msc-pg-diploma-textile-and-clothing-management"
"1533803404-948","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Environmental Water Resources Engineering & Management","https://www.mrt.ac.lk/web/meng-pg-diploma-water-resources-engineering-and-management"
"1533803404-955","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma  in Remote Sensing & Geographical Information Systems","https://www.mrt.ac.lk/web/msc-pg-diploma-remote-sensing-and-gis"
"1533803404-952","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Transportation","https://www.mrt.ac.lk/web/msc-pg-diploma-transportation"
"1533803404-949","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Foundation Engineering & Earth  Retaining Systems","https://www.mrt.ac.lk/web/meng-pg-diploma-foundation-engineering-and-earth-retaining-systems"
"1533803404-970","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Artificial Intelligence","https://www.mrt.ac.lk/web/msc-pg-diploma-artificial-intelligence"
"1533803404-945","https://www.mrt.ac.lk/web/postgraduate-diplomas","Postgraduate Diploma in Construction Project Management","https://www.mrt.ac.lk/web/mba-pg-diploma-project-management"
