web-scraper-order,web-scraper-start-url,ranking,World Rank,University,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1533715878-8,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,8,4368,University of Jaffna,1113,10388,2939,4283
1533715878-53,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,53,25794,(3) Postgraduate Institute of Humanities and Social Sciences University of Peradeniya,17654,25957,10776,5974
1533715878-49,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,49,25030,IDM Nations Campus,4008,25735,10776,5974
1533715878-45,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,45,22360,Royal Institute of Colombo,22723,21828,10776,5974
1533715878-2,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,2,2157,University of Colombo,594,3864,1771,2340
1533715878-11,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,11,5130,Sabaragamuwa University,4138,12717,4459,4359
1533715878-4,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,4,2710,University of Moratuwa,496,3983,3026,3152
1533715878-54,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,54,26334,IESL College of Engineering,26279,26125,10776,5974
1533715878-30,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,30,16701,Horizon Campus,21986,18106,9223,5974
1533715878-31,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,31,16957,Arthur C Clarke Institute of Modern Technologies,17197,15752,10776,5974
1533715878-47,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,47,22730,National Institute of Social Development,14748,22891,10776,5974
1533715878-25,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,25,15876,Colombo International Nautical and Engineering College,20384,15757,10180,5974
1533715878-37,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,37,19175,University of Vocational Technology Ratmalana,21653,19326,10363,5974
1533715878-28,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,28,16167,Informatics Institute of Technology Sri Lanka,3875,16418,10604,5974
1533715878-22,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,22,14648,ESOFT Metro Campus,2489,13922,10776,5974
1533715878-34,http://www.webometrics.info/en/Asia/Sri%20Lanka%20,34,18220,Sri Lanka Press Institute,16775,17365,10776,5974
