id,FacultyName,Type,ProgramName ,ProgramUrl
1,School of Business,Degree Programmes,BA (Hons)  Management and Leadership,https://www.nibm.lk/prospectus/708
2,School of Business,Degree Programmes,BA (Hons)  Marketing and Public Relations,https://www.nibm.lk/prospectus/710
3,School of Business,Degree Programmes,BA (Hons)  Professional Accounting,https://www.nibm.lk/prospectus/709
4,School of Business,Diploma Programmes,Higher National Diploma in Business Management (Full Time),https://www.nibm.lk/prospectus/697
5,School of Business,Diploma Programmes,Advanced National Diploma in Human Resource Management ( Sinhala ),https://www.nibm.lk/prospectus/525
6,School of Business,Diploma Programmes,Advanced Diploma in Business Management ( ADBM ) ( for Professionals  ),https://www.nibm.lk/prospectus/10
7,School of Business,Diploma Programmes,Advanced National Diploma in Human Resource Management ( English ),https://www.nibm.lk/prospectus/530
8,School of Business,Diploma Programmes,Advanced Diploma in Marketing Management,https://www.nibm.lk/prospectus/28
9,School of Business,Diploma Programmes,Advanced Diploma in Business Management ( ADBM ) ( for After A/L Students ),https://www.nibm.lk/prospectus/338
10,School of Business,Diploma Programmes,Advanced Diploma in Manufacturing Management,https://www.nibm.lk/prospectus/324
11,School of Business,Diploma Programmes,Advanced Diploma in Industrial Engineering ,https://www.nibm.lk/prospectus/9
12,School of Business,Diploma Programmes,Advanced Diploma in Financial & Management  Accounting,https://www.nibm.lk/prospectus/49
13,School of Business,Diploma Programmes,Advanced Diploma in Supplies & Materials Management ,https://www.nibm.lk/prospectus/32
14,School of Business,Diploma Programmes,Advanced Diploma in Healthcare Management,https://www.nibm.lk/prospectus/667
15,School of Business,Diploma Programmes,Advanced Diploma in Logistics Management ,https://www.nibm.lk/prospectus/117
16,School of Business,Diploma Programmes,Diploma in Counseling and Psychology,https://www.nibm.lk/prospectus/665
17,School of Business,Diploma Programmes,Advanced Diploma in Project Management,https://www.nibm.lk/prospectus/352
18,School of Business,Diploma Programmes,Advanced Diploma in Facility Maintenance Management ,https://www.nibm.lk/prospectus/670
19,School of Business,Certificate Courses,Advanced Certificate Course in Business Management ,https://www.nibm.lk/prospectus/318
20,School of Business,Certificate Courses,Advanced Certificate in Human Resource Management ( Sinhala ),https://www.nibm.lk/prospectus/339
21,School of Business,Certificate Courses,Advanced Certificate Course in Marketing Management,https://www.nibm.lk/prospectus/57
22,School of Business,Certificate Courses,Certificate Course in Psychological Counseling Skills,https://www.nibm.lk/prospectus/407
23,School of Business,Certificate Courses,Advanced Certificate in Supplies & Materials Management,https://www.nibm.lk/prospectus/31
24,School of Business,Certificate Courses,Advanced Certificate Course in Business Analytics,https://www.nibm.lk/prospectus/699
25,School of Business,Certificate Courses,Advanced Certificate in Human Resource Management ( English ) ,https://www.nibm.lk/prospectus/527
26,School of Business,Certificate Courses,Advanced Certificate Course in Financial and Management Accounting,https://www.nibm.lk/prospectus/17
