id,FacultyName,Type,ProgramName ,ProgramUrl,,,
1,Arts,Postgraduate Programmes ,Postgraduate Diploma in Population Studies,http://arts.cmb.ac.lk/demo/?page_id=10,,,
2,Arts,Postgraduate Programmes ,M.A. in Demography,http://arts.cmb.ac.lk/demo/?page_id=12,,,
3,Arts,Postgraduate Programmes ,M.Phil in Demography,http://arts.cmb.ac.lk/demo/?page_id=14,,,
4,Arts,Postgraduate Programmes ,Diploma in Economic Development (DED),https://www.cmb.ac.lk/academic/arts/econ/?q=ded,,,
5,Arts,Postgraduate Programmes ,Masters in Economics (MEcon),https://www.cmb.ac.lk/academic/arts/econ/?q=mecon,,,
6,Arts,Postgraduate Programmes ,MA in Financial Economics (MAFE),https://www.cmb.ac.lk/academic/arts/econ/?q=mafe,,,
7,Arts,Postgraduate Programmes ,MPhil/ Ph.D Programme,https://www.cmb.ac.lk/academic/arts/econ/?q=mphil,,,
8,Arts,Postgraduate Programmes ,Master of Tourism Economics and Hotel Management (MTEHM),https://www.cmb.ac.lk/academic/arts/econ/?q=mtehm,,,
9,Arts,Postgraduate Programmes ,Postgraduate Diploma in Tourism Management Economics and Hotel (Pg. DTEHM),https://www.cmb.ac.lk/academic/arts/econ/?q=pg-dtehm,,,
10,Arts,Postgraduate Programmes ,MA in English Studies,https://www.cmb.ac.lk/academic/arts/english/ma%20in%20English%20Studies.html,,,
11,Arts,Postgraduate Programmes ,Postgraduate Diploma in Environment & Regional Development,https://www.cmb.ac.lk/academic/arts/Geo/pgdiploma.html,,,
12,Arts,Postgraduate Programmes ,Postgraduate Diploma & MA In Historical Studies,http://arts.cmb.ac.lk/history/?page_id=96,,,
13,Arts,Postgraduate Programmes ,MA In History (Research),http://arts.cmb.ac.lk/history/?page_id=100,,,
14,Arts,Postgraduate Programmes ,Postgraduate Diploma & MA In Historical Studies,http://arts.cmb.ac.lk/history/?page_id=96,,,
15,Arts,Postgraduate Programmes ,MA In History (Research),http://arts.cmb.ac.lk/history/?page_id=100,,,
16,Arts,Postgraduate Programmes ,MA In History (Research),('http://arts.cmb.ac.lk/politic/index.php/post-graduate-studies/',),,
17,Arts,Postgraduate Programmes ,Master of Arts in Sinhala,https://www.cmb.ac.lk/academic/arts/sinhala/Courses-Graduate.html,,,
18,Arts,Postgraduate Programmes ,MA / MPhil / Ph.D Programmes by research,https://www.cmb.ac.lk/academic/arts/sinhala/Courses-Graduate.html,,,
19,Arts,Postgraduate Programmes ,Postgraduate Diploma in Applied Sociology,https://www.cmb.ac.lk/academic/arts/socio/dip.html,,,
20,Arts,Postgraduate Programmes ,Master of Arts Degree in Sociology,https://www.cmb.ac.lk/academic/arts/socio/ma.html,,,
